"source","id","doi","title","authors","journal","published_date","url","abstract"
"pubmed","42716876","10.1016/j.tplants.2026.08.007","Ancient polyploidization waves as evolutionary shields for angiosperms.","Chang, Xiaojun; Gong, Yao; Zheng, Jian; Zhang, Liangsheng","Trends in plant science","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716876/","Chen et al. identified 132 whole-genome duplications (WGDs) clustered around environmental crises. We highlight how, over longer evolutionary timescales, ancient WGDs convergently retained MADS-box, MYB, WRKY and HSF transcription factors, building stress-adaptation networks. These insights guide climate-resilient crop improvement through comparative genomics and CRISPR engineering."
"pubmed","42716490","10.1093/bib/bbag478","SpacerScope: binary-vectorized, genome-wide off-target profiling for RNA-guided nucleases without prior candidate-site bias.","Qu, Yanji; Wang, Yaxuan; Wang, Yan; Tang, Haoru; Chen, Qing","Briefings in bioinformatics","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716490/","The precision of CRISPR/Cas systems is fundamental to their application in plant and animal biotechnology. However, comprehensive sequence-based off-target candidate discovery remains a computational bottleneck, particularly in large and complex genomes. Here we developed SpacerScope, an off-target candidate discovery framework that enables unbiased, genome-wide discovery by leveraging binary vectorization, bitwise filtering, and right-end-anchored alignment. Benchmarking against human CIRCLE-seq data demonstrated that SpacerScope recovered 100% of validated off-target sites (6142/6142), matching the sensitivity of exhaustive algorithms. Crucially, SpacerScope achieved this maximum candidate recovery while substantially reducing computational overhead. In large-genome evaluations, SpacerScope maintained low peak memory usage of 2.20 GiB and achieved substantial runtime improvements over indel-aware comparator tools, including more than 50-fold speedup relative to Cas-OFFinder 3 (544 s versus 29 185 s). Furthermore, comparative analyses in polyploid species, such as the octoploid strawberry, revealed that SpacerScope identified larger sequence-compatible candidate burdens than standard web-based design platforms. Our results establish SpacerScope as a high-speed framework for sequence-based genome-wide off-target candidate discovery across diverse and highly repetitive genomic landscapes. The source code and program was publicly available at https://github.com/charlesqu666/SpacerScope. Short Abstract CRISPR/Cas sequence-based off-target candidate discovery remains computationally challenging in large, repetitive, and polyploid genomes. Existing tools either miss indel-containing candidate sites or incur prohibitive runtime and memory costs. We developed SpacerScope, a binary-vectorized framework that enables unbiased, genome-wide off-target candidate discovery without pre-selected candidate sites. By integrating bitwise filtering with right-end-anchored alignment, SpacerScope recovered 100% of validated off-target sites in human CIRCLE-seq data while using only 2.20 GiB of memory and achieving more than 10-fold speedup over indel-aware alternatives. Evaluation in plant genomes, including rice and octoploid strawberry, further demonstrated SpacerScope's capacity to identify larger sequence-compatible candidate burdens overlooked by standard tools. SpacerScope thus provides a high-speed framework for sequence-based genome-wide off-target candidate discovery across diverse and highly repetitive genomic landscapes, supporting downstream prioritization."
"pubmed","42716374","10.1016/j.neuropharm.2026.111185","Opto-CRISPR technologies in translational neuropharmacology.","Lau, Cia-Hin; Xia, Qiyuan; Liang, Qingle; Guo, Rui; Zhu, Haibao","Neuropharmacology","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716374/","Opto-CRISPR (optically controlled CRISPR/Cas) represents a major advancement in precision neurology by enabling localized gene editing within the nervous system at precise times and locations. While preclinical studies still rely largely on classical CRISPR/Cas systems, opto-CRISPR offers unprecedented opportunities to safely treat neurological diseases at their genetic roots. It achieves this by spatiotemporally correcting pathogenic mutations, halting toxic protein accumulation, repairing neurons, rebuilding neural circuitry, and accelerating drug discovery through highly realistic disease models. This review discusses this emerging field and its transformative potential for translational neuropharmacology, focusing on therapies for neurodevelopmental and neurodegenerative disorders. Opto-CRISPR is classified into four generations: Generation 1 (light-controlled Cas protein systems), Generation 2 (light-activated guide RNA systems), Generation 3 (light-controlled inhibitor systems), and Generation 4 (NIR upconversion and epigenetic multiplexing). Their working mechanisms, applications, advantages, and limitations are comprehensively described. We also critically discuss how opto-CRISPR offers distinct advantages over traditional biologics and remote modalities (e.g., small-molecule drugs, monoclonal antibodies, antisense oligonucleotides, viral-mediated gene therapy, magnetogenetics, and sonogenetics) in neuropharmacology. Finally, we address current challenges and the therapeutic outlook for the clinical translation of opto-CRISPR."
"pubmed","42716355","10.1016/j.biotechadv.2026.109033","Emerging strategies for regulating Cas12a and Cas13a trans-cleavage activity in biosensing.","Wang, Xiaohui; Huang, Yaru; Zhang, Lei; Zheng, Le","Biotechnology advances","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716355/","CRISPR-Cas12a and Cas13a have become widely used platforms for molecular diagnostics and biosensing, because target recognition can trigger collateral nucleic acid cleavage for signal amplification. Leveraging this mechanism, numerous biosensing platforms have been developed with high sensitivity, high specificity, and compatibility with point-of-care testing. However, their analytical performance depends strongly on the regulation of trans-cleavage activity. This review summarizes recent advances in the molecular basis and activity regulation of CRISPR-Cas12a- and Cas13a-based biosensing systems. We discuss the target-recognition and conformational activation mechanisms underlying Cas12a and Cas13a trans-cleavage. We then examine how Cas effector properties, crRNA architecture and composition, activator accessibility and structure, reaction conditions, and reporter design regulate target-induced activation and signal output. We further highlight the use of these strategies for controlled activation, tunable signal generation, and broader biosensing applications. By organizing these strategies across different regulatory layers, this review aims to provide a framework for designing more controllable and adaptable CRISPR trans-cleavage biosensing systems."
"pubmed","42716227","10.1016/j.plantsci.2026.113443","The OsRFP1-OsMYB61 module regulates rice drought tolerance by modulating the transcription of ABA- and drought-responsive genes.","Li, Xiaoyue; Xu, Bing; Jia, Xuying; Cao, Xiaohong; Sun, Wanying; Wang, Weiwei; Yang, Siqi; Yan, Tengling; Du, Honglin; Guo, Guangyan; Bi, Caili","Plant science : an international journal of experimental plant biology","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716227/","Rice (Oryza sativa L.) is a major food crop worldwide. With the acceleration of global warming, drought is becoming one of the major limitations for rice productivity. In plants, MYB transcription factors (TF) play pivotal roles in mediating drought stress tolerance. The rice OsMYB61 encodes an R2R3-MYB protein. OsMYB61 is localized both in the nucleus and the stomatal guard cells in the Nicotiana benthamiana leaves. The expression of OsMYB61 is repressed by ABA and PEG treatments. OsMYB61-overexpressing rice lines exhibited decreased drought tolerance. qRT-PCR evidence showed that the transcription levels of OsDREB2A and OsNCED1/4 in transgenic rice plants were differentially altered by PEG treatment. The yeast one-hybrid (Y1H) assay and transient luciferase reporter experiments demonstrated that OsMYB61 may bind to the promoters OsNCED1/4 and OsDREB2A, and hence inhibits their expression. OsRFP1 is a RING-finger E3 ubiquitin ligase and promotes stomatal opening. Our evidence showed that OsMYB61 interacts with and ubiquitinates OsRFP1 directly, thereby promoting its degradation via the ubiquitin-26S proteasome pathway. Moreover, knockout of OsRFP1 via the CRISPR-Cas9 technique led to decreased drought and osmotic tolerance of osrfp1 mutants, implying that OsRFP1 positively regulates drought and osmotic stress response. Furthermore, co-expression of OsRFP1 and OsMYB61 attenuated the repressive effects of OsMYB61 on the transcription of OsNCED1/4 and OsDREB2A. Collectively, our findings unraveled the molecular mechanisms of the OsRFP1-OsMYB61 module in regulating rice drought tolerance, which provide potential targets for rice breeding with improved drought tolerance."
"pubmed","42716156","10.1016/j.ijbiomac.2026.154405","PDK1 signaling in cancer: Current status and future perspectives.","Honnasiddappa, Darshana Ballagere; Ramar, Mohankumar; Biju, Tincy; Sajjan, Mallikarjun; Venkatesh, Chidananda; Mahadeva, Nayan Kumar; Kunjiappan, Selvaraj; Ammunje, Damodar Nayak; Pavadai, Parasuraman","International journal of biological macromolecules","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716156/","Dysregulation of signaling pathways governing cell growth, survival, metabolism, angiogenesis, invasion, metastasis, and therapeutic response drives cancer progression. The AGC family of kinases, such as AKT, S6K, SGK, RSK, and PKC, is important for downstream signaling. The 3-phosphoinositide-dependent protein kinase-1 protein (PDK1), encoded by the PDPK1 gene, phosphorylates activation-loop residues in these kinases and links phosphoinositide signaling to cellular growth, survival, metabolism, and transformation. The structure, regulation, cancer-associated functions, and therapeutic targeting of PDK1 are critically reviewed, with a focus on the pleckstrin homology domain, PIF pocket-mediated substrate docking, the kinase domain, and reported non-catalytic interactions. Experimental results from breast, lung, gastric, liver, hematological, and melanoma models suggest that dysregulated PDK1 signaling can increase the output of the PI3K-AKT-mTOR pathway, invasion, metabolic adaptation, and resistance to specific hormonal, chemotherapeutic, and targeted therapies. In some preclinical models, genetic suppression of PDK1 using siRNA, shRNA, or CRISPR-based methods has been shown to slow tumor cell growth and restore drug sensitivity. However, PDK1 remains an unvalidated therapeutic target in the clinic. There is no selective PDK1 inhibitor that has been clinically approved, and most pharmacological candidates are based on biochemical and cellular data. There is limited genetic evidence and in vivo evidence, and no validated clinical evidence specific to PDK1. Emerging PIF-pocket ligands, dual-site inhibitors, allosteric modulators, and protein-degradation strategies are therefore investigational strategies that need to be improved in terms of selectivity, pharmacokinetic characterization, tumor-context validation, and biomarker-guided evaluation."
"pubmed","42716134","10.1016/j.bcp.2026.118462","MEX3A mediates DHRS3 instability to relieve G0/G1 arrest and facilitate hepatocellular carcinoma tumorigenesis and progression.","Li, Weihan; Mo, Shanshan; Zhang, Wei; Ben, Yiran; Chen, Guolin","Biochemical pharmacology","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716134/","Hepatocellular carcinoma (HCC), the most prevalent form of liver cancer, has a high incidence and mortality rate. This study aimed to elucidate the function of MEX3A in HCC and explore its underlying mechanisms. The expression of MEX3A was assessed in a DEN/CCl(4)-induced mouse model and in clinical HCC tumor tissues. MEX3A expression was increased in the tumors of HCC patients and was associated with poor prognosis. CRISPR/Cas9-mediated MEX3A knockout induced cell cycle arrest at the G0/G1 phase and suppressed the proliferation of HCC cells. Knockout of Mex3a hampered tumor development in DEN/CCl(4)-induced mice and inhibited xenograft tumor growth. MEX3A reduces the mRNA stability of DHRS3 via MRE. Knockdown of DHRS3 compromised the effect of MEX3A knockout on the HCC cell cycle and promoted HCC development. MEX3A transcription in HCC is regulated by ZKSCAN5. Knockout of ZKSCAN5 induced HCC cell cycle arrest at the G0/G1 phase and suppressed HCC cell proliferation. Sincalide, a compound targeting ZKSCAN5, inhibited the malignant behavior of HCC cells. The findings of this study indicate that sincalide serves as a potential ZKSCAN5-targeting candidate compound. By binding to ZKSCAN5 and promoting its proteasome-dependent degradation, it offers a new avenue for inhibiting the ZKSCAN5/MEX3A/DHRS3 axis."
"pubmed","42716014","10.1016/j.neuron.2026.08.006","Mapping cell-type- and age-dependent neuronal vulnerability through genome-wide in vivo CRISPRi screens in the mouse brain.","Lin, Risheng; Ke, Zeting; Wang, Jianhui; Wei, Tianzi; Zhang, Lifu; Fang, Yitong; Tian, Ruilin","Neuron","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716014/","Current brain atlases are largely descriptive, cataloging correlative molecular snapshots such as gene expression signatures yet offering limited functional insight. Here, we develop a scalable, cell-type-resolved in vivo CRISPR interference (CRISPRi) platform enabling systematic gene function profiling in the mouse brain. Through genome-wide screens across four neuronal populations at three time points spanning youth to aging, we identify neuronal essential genes missed in vitro and define a consensus set of 269 neuronal core essential genes. The data reveal cell-type-specific genetic vulnerabilities, including divergent dependencies validated for exosome component 9 (Exosc9) and osteopetrosis-associated transmembrane protein 1 (Ostm1) between excitatory and inhibitory neurons. We uncover aging-specific dependencies enriched in mitochondrial and translational pathways, aligning with transcriptional changes in the aging human brain. Finally, we establish the CRISPRinvivo data portal as a community resource for in vivo screening. Altogether, this work provides a broadly applicable platform for in vivo functional genomics and a framework for building comprehensive gene-function brain atlases."
"pubmed","42716012","10.1016/j.ajhg.2026.08.014","Functional characterization of the 9q34.13 locus identifies RAPGEF1 as a candidate gene modulating risk for melanoma and nevi via RAS activation.","Thakur, Rohit; Xu, Mai; Thornock, Alexandra M; Yon, Joshuah; Anyaso-Samuel, Samuel; Lauss, Martin; Rehling, Thomas; Bui-Raborn, Linh; Sowards, Hayley; Duncan, Gerard; Jessop, Lea; Myers, Timothy; Chari, Raj; Long, Erping; Funderburk, Karen; Yin, Jinhu; Hennessey, Rebecca; Hseih, Emory; Levin, Hannah; Machiela, Mitchell J; Zhang, Tongwu; Jonsson, Goran; Bishop, D Timothy; Newton-Bishop, Julia; Nsengimana, Jeremie; Iles, Mark M; Landi, Maria Teresa; Law, Matthew H; Andresson, Thorkell; Choi, Jiyeon; Zon, Leonard I; Shi, Jianxin; Brown, Kevin M","American journal of human genetics","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42716012/","Genome-wide association studies identified a melanoma- and nevus count-associated locus on chromosome band 9q34.13. Fine-mapping and melanocyte expression data collectively suggest two potential risk genes with opposite associations with risk: higher levels of Rap guanine nucleotide exchange factor 1 (RAPGEF1) and lower levels of uridine-cytidine kinase 1 (UCK1). Colocalization analyses and conditional transcriptome-wide association studies (TWASs) suggest multiple causal cis-regulatory sequence variants in partial linkage disequilibrium (LD) to each other. Melanocyte capture-HiC and CRISPR inhibition demonstrated regulatory interactions between fine-mapped variants and the RAPGEF1 and UCK1 promoters. Focusing on RAPGEF1, we demonstrate that RAPGEF1 expression promotes melanocyte growth and drives colony formation of human immortalized melanocytes. Following treatment with human epidermal growth factor (EGF), RAPGEF1 overexpression activated both RAP1 and RAS. Further, we show that RAPGEF1 expression is significantly enriched in melanomas that lack strongly activating RAS-MAPK pathway mutations, which suggests that RAPGEF1 may promote oncogenic RAS-MAPK pathway signaling in melanomas. Furthermore, in these tumors, we provide preliminary evidence to support the prognostic relevance of RAPGEF1 expression in individuals whose melanomas lack RAS or BRAF mutations. Together with other recent studies, these data suggest that germline variation influencing RAS activation may play a key role in nevus development and melanoma risk."
"pubmed","42715858","10.1016/j.micres.2026.128712","Spartin promotes influenza A virus attachment by sustaining the organization of sialic acid clusters.","Sun, Huimin; Luo, Didan; Tu, Shaoyu; Du, Yue; Xiong, Chuhan; Jin, Meilin; Chen, Huanchun; Zou, Jiahui; Zhou, Hongbo","Microbiological research","2026-09-09","https://pubmed.ncbi.nlm.nih.gov/42715858/","Swine influenza virus (SIV) poses a continuous threat to global pig production and public health. Efficient SIV replication is highly dependent on host factors, making their identification and functional characterization important for the development of host-directed antiviral strategies. Here, we investigated the role of the host factor SPART in SIV infection using CRISPR/Cas9-mediated knockout cells in combination with viral entry assays, flow cytometry, confocal microscopy, and stimulated emission depletion (STED) super-resolution imaging. SPART deficiency markedly impaired the replication of multiple influenza A virus (IAV) subtypes. Further analyses revealed that SPART knockout inhibited viral attachment. Mechanistically, SPART deficiency altered the organization of sialic acid clusters on the cell membrane by remodeling intracellular F-actin via hyperactivation of the MEK/ERK signaling pathway, without affecting the expression of sialic acid receptors. Collectively, these findings identify SPART as a novel host factor that promotes IAV attachment by maintaining sialic acid cluster organization, providing new mechanistic insight into host-mediated regulation of influenza virus entry."
